asset_id,asset_name,year,country,asset_type,floor_area_m2,occupancy_rate,energy_kwh,ghg_tco2e,water_m3
A001,Canal View Offices,2022,NL,Office,12000.0,0.8842065601940512,2756743.1,346.8213,6527.24
A001,Canal View Offices,2023,NL,Office,12000.0,0.8803716539629314,2826898.64,539.3928,6693.35
A001,Canal View Offices,2024,NL,Office,12000.0,0.9301577436331596,2724573.88,376.4884,6451.07
A002,Riverside Apartments,2022,NL,Residential,8500.0,0.788902842979133,859048.21,128.1038,
A002,Riverside Apartments,2023,NL,Residential,8500.0,0.8528915586735002,833453.35,124.3633,3138.33
A002,Riverside Apartments,2024,NL,Residential,8500.0,0.8652710514185808,734720.12,145.8549,2766.56
A003,Desert Business Bay,2022,UAE,Office,14000.0,0.7984123289264956,2844287.54,359.817,4292.65
A003,Desert Business Bay,2023,UAE,Office,14000.0,0.8704301771088607,2925666.4,379.6556,4415.46
A003,Desert Business Bay,2024,UAE,Office,14000.0,0.8932998492168994,9361445.568000002,386.7559,4415.14
A004,Marina Residences,2022,UAE,Residential,9000.0,0.9890042366074367,1119015.16,208.4191,2451.4
A004,Marina Residences,2023,UAE,Residential,9000.0,1.0,992576.0,0.0,2174.41
A004,Marina Residences,2024,UAE,Residential,9000.0,1.0,1145519.92,243.0649,2509.46
A005,Logistics Hub North,2022,NL,Industrial,20000.0,0.8287039895853692,2126358.9,314.8998,3346.57
A005,Logistics Hub North,2023,NL,Industrial,20000.0,0.8830330264576973,2054918.47,411.4352,3234.13
A005,Logistics Hub North,2024,NL,Industrial,20000.0,0.8461252927140616,2103294.18,253.5568,3310.27
